NodeID,A1,A2,A3,A4,A5
295,0,1,1,1,1
296,0,0,0,1,1
297,1,0,0,0,1
298,0,1,1,0,0
299,1,0,1,0,0
300,1,0,0,0,0
301,1,1,0,1,1
302,0,0,1,0,0
303,0,1,0,0,0
304,1,0,0,0,1
305,1,0,0,0,1
306,0,0,0,1,1
307,0,0,0,1,0
308,0,0,0,1,0
309,0,0,1,1,1
310,0,1,0,0,0
311,0,0,0,1,0
312,1,1,1,0,0
313,0,0,0,0,0
314,0,0,1,0,0
315,0,1,0,0,1
316,1,0,1,0,1
317,0,1,1,1,0
318,0,0,1,0,1
319,0,1,1,1,1
320,1,1,1,0,1
321,0,0,1,1,1
322,0,1,0,1,1
323,1,1,1,1,0
324,0,1,1,0,1
325,0,1,0,0,1
326,1,0,0,0,0
327,0,0,0,0,1
328,1,1,0,1,0
329,1,0,0,0,0
330,1,0,1,0,0
331,1,0,1,1,1
332,1,0,1,0,0
333,0,0,0,0,1
334,0,1,0,0,1
335,0,0,1,1,1
336,0,0,0,0,0
337,0,0,0,0,1
338,1,1,1,0,1
339,0,1,1,1,1
340,1,1,0,1,0
341,1,0,0,1,0
342,0,1,0,0,0
343,0,1,1,1,0
344,1,0,1,0,1
345,0,1,1,1,1
346,1,1,0,1,1
347,1,0,1,1,0
348,0,1,1,1,1
349,1,0,1,1,0
350,1,0,0,1,0
351,1,1,1,1,1
352,1,1,1,1,1
353,0,1,0,0,0
354,1,1,0,0,1
355,0,1,0,1,1
356,1,0,1,0,0
357,0,0,0,0,1
358,1,1,1,0,0
359,0,1,0,0,1
360,1,0,1,1,0
361,0,1,1,1,0
362,1,1,0,1,1
363,1,1,0,1,0
364,1,0,1,0,0
365,1,1,0,1,1
366,1,1,0,1,0
367,0,0,0,1,0
368,1,1,0,1,0
369,1,1,1,0,1
370,0,1,0,1,1
371,0,0,0,1,0
372,0,0,1,1,0
373,0,0,0,1,0
374,0,1,0,0,1
375,1,1,0,1,0
376,1,1,0,0,0
377,1,0,1,0,1
378,1,1,1,0,0
379,1,0,1,0,0
380,1,0,0,0,1
381,1,1,1,1,1
382,1,1,0,0,0
383,0,0,0,0,1
384,1,0,1,1,1
385,1,1,0,1,0
386,0,1,1,1,0
387,0,0,0,1,0
388,1,0,1,0,0
389,0,1,0,0,1
390,0,0,0,1,1
391,0,1,0,0,0
392,1,0,0,0,0
393,1,1,1,1,0
394,1,1,0,0,0
395,1,0,1,0,0
396,1,1,0,0,0
397,1,0,0,1,1
398,0,0,0,0,0
399,0,0,0,1,0
400,0,1,0,1,1
401,1,1,0,1,0
402,1,0,1,1,1
403,0,1,0,0,1
404,0,0,1,0,1
405,0,0,0,1,1
406,0,0,1,1,0
407,1,1,1,0,0
408,0,1,0,1,1
409,1,1,1,0,1
410,1,0,1,1,0
411,1,0,1,1,0
412,0,1,1,0,0
413,0,1,1,0,0
414,1,1,1,0,0
415,1,0,1,0,1
416,0,1,0,0,1
417,0,1,1,0,1
418,1,1,0,1,1
419,1,1,0,0,1
420,0,1,1,0,0
421,1,0,0,1,1
422,1,1,0,1,0
423,1,0,0,0,0
424,0,1,1,0,1
425,1,0,0,0,0
426,1,0,1,1,0
427,0,0,1,0,0
428,0,1,1,1,1
429,1,1,1,1,1
430,1,0,1,0,0
431,0,0,0,0,1
432,0,1,0,0,1
433,0,0,0,0,0
434,0,0,0,1,0
435,1,0,0,0,0
436,0,0,1,1,0
437,1,1,1,0,1
438,0,0,1,1,1
439,1,1,1,0,0
440,0,0,1,1,1
441,0,1,1,1,0
442,1,1,1,0,1
443,1,0,1,0,1
444,1,0,1,0,0
445,0,0,0,1,0
446,1,0,0,1,1
447,0,0,0,1,0
448,0,1,0,0,0
449,0,1,1,0,0
450,1,1,0,0,1
451,0,1,1,1,1
452,0,0,0,0,0
453,0,0,0,0,1
454,0,1,1,1,0
455,0,1,0,0,0
456,1,0,0,1,1
457,0,1,0,0,0
458,1,1,1,0,0
459,0,0,0,0,1
460,0,1,0,1,0
461,0,0,0,0,1
462,0,1,1,0,0
463,1,1,1,0,1
464,1,1,1,1,0
465,0,0,1,1,0
466,0,0,0,1,1
467,1,1,0,1,1
468,1,0,0,1,1
469,0,0,0,1,0
470,1,0,1,0,0
471,0,1,1,0,1
472,0,1,1,0,0
473,1,0,0,0,1
474,1,1,1,0,1
475,1,1,0,1,0
476,1,0,1,0,0
477,0,1,0,0,1
478,1,1,0,1,1
479,0,1,0,1,1
480,0,0,0,1,0
481,0,1,1,1,1
482,0,1,0,1,0
483,0,0,0,1,1
484,0,0,0,0,0
485,1,1,1,1,0
486,0,1,1,1,0
487,0,1,1,0,1
488,1,1,1,0,0
489,0,1,1,1,0
490,0,1,1,1,1
491,0,1,1,1,0
492,0,1,0,1,0
493,1,1,1,1,0
494,0,0,0,0,1
495,1,0,0,0,1
496,0,1,0,0,0
497,0,1,1,0,0
498,0,0,1,0,1
499,1,0,0,0,1
500,1,0,0,1,0
501,1,0,0,1,0
502,1,0,0,1,1
503,1,1,0,0,1
504,1,0,1,0,0
505,1,0,1,1,1
506,0,1,0,1,1
507,1,0,0,1,0
508,1,1,1,1,0
509,0,0,0,0,1
510,1,1,1,1,0
511,0,0,1,0,0
512,1,1,1,1,0
513,0,0,1,0,0
514,1,0,0,0,0
515,0,1,0,1,1
516,0,0,1,0,1
517,0,1,1,1,1
518,1,1,1,1,1
519,0,0,0,1,1
520,1,1,0,0,0
521,0,1,1,1,0
522,1,1,1,0,0
523,0,0,0,1,1
524,0,1,1,1,0
525,0,1,0,1,1
526,0,1,1,1,0
527,0,1,1,0,0
528,0,1,0,1,1
529,0,0,0,1,0
530,0,0,0,0,1
531,1,0,1,0,1
532,0,0,1,1,0
533,0,1,1,0,0
534,1,0,1,1,1
535,1,0,0,0,0
536,0,0,1,0,1
537,0,0,1,1,0
538,0,0,1,0,0
539,0,1,0,1,0
540,1,1,1,1,0
541,1,0,0,1,1
542,1,0,0,1,0
543,1,0,1,1,0
544,1,1,0,1,1
545,1,0,1,0,1
546,1,0,1,1,1
547,1,0,1,0,0
548,1,0,0,0,0
549,0,0,1,0,0
550,1,0,1,0,0
551,0,1,0,1,0
552,1,1,1,0,1
553,1,1,1,0,1
554,0,0,0,0,1
555,1,1,1,0,1
556,0,0,0,0,0
557,1,1,1,0,1
558,1,1,0,0,0
559,0,1,0,0,0
560,0,0,1,1,1
561,1,0,1,1,1
562,0,0,1,0,0
563,0,0,0,0,1
564,0,1,0,1,1
565,0,0,0,1,0
566,0,0,0,1,0
567,0,0,1,0,0
568,0,0,1,0,1
569,1,0,0,1,1
570,1,0,1,0,1
571,0,0,0,1,1
572,0,1,1,0,1
573,1,1,0,1,1
574,0,1,0,0,1
575,1,0,1,0,0
576,1,1,1,0,1
577,0,0,0,0,1
578,1,0,0,0,1
579,0,1,0,0,0
580,1,0,0,0,1
581,1,1,0,1,1
582,0,0,0,1,0
583,0,1,1,1,0
584,1,1,1,1,0
585,0,0,1,1,1
586,1,1,0,1,1
587,0,1,0,1,1
588,0,0,1,0,0
589,1,0,0,0,1
590,0,1,0,1,1
591,1,1,1,1,1
592,1,1,0,1,1
593,1,1,1,1,1
594,1,1,0,1,0
595,0,0,0,0,1
596,0,0,0,0,0
597,1,0,1,0,1
598,0,1,1,1,1
599,1,0,0,0,1
600,1,1,0,1,1
601,0,1,1,1,1
602,1,0,0,0,0
603,0,0,1,1,0
604,0,0,0,1,1
605,1,1,0,1,0
606,0,0,1,1,1
607,0,0,1,1,0
608,1,1,0,0,0
609,1,1,1,0,1
610,0,0,1,1,0
611,0,1,1,0,1
612,1,1,0,0,1
613,1,0,0,1,0
614,1,0,0,1,1
615,0,1,1,0,0
616,0,1,0,0,1
617,1,1,1,1,0
618,1,1,0,0,1
619,0,1,1,0,1
620,0,1,1,0,0
621,1,0,1,0,0
622,1,1,1,1,1
623,1,1,0,0,0
624,1,1,1,1,0
625,1,1,0,0,0
626,1,1,0,1,0
627,1,0,0,0,1
628,1,0,1,0,1
629,0,1,0,1,1
630,0,0,0,1,0
631,1,0,0,1,1
632,0,1,1,1,0
633,0,1,1,0,0
634,1,0,1,1,1
635,1,1,0,0,1
636,0,0,0,1,0
637,1,1,1,1,0
638,0,1,1,1,0
639,1,0,1,0,0
640,0,0,1,0,0
641,1,1,0,0,1
642,1,0,0,0,1
643,1,1,0,1,1
644,0,1,1,1,1
645,1,0,1,0,0
646,1,1,0,1,0
647,0,0,0,0,1
648,1,1,0,0,1
649,0,0,0,1,1
650,1,0,1,1,0
651,0,1,0,0,0
652,0,0,0,0,0
653,0,0,0,1,0
654,1,1,1,1,0
655,1,0,0,1,0
656,0,0,0,0,0
657,0,0,0,1,1
658,1,1,1,1,0
659,0,1,1,0,1
660,0,0,1,0,0
661,0,0,1,1,0
662,0,1,0,0,0
663,1,0,1,1,1
664,0,1,0,0,1
665,1,0,0,1,1
666,1,0,1,1,0
667,1,1,1,0,1
668,0,1,0,1,1
669,0,1,0,0,1
670,1,0,0,0,0
671,0,0,0,0,1
672,1,0,0,1,1
673,0,0,0,1,1
674,1,1,0,0,1
675,0,1,0,1,1
676,1,0,0,1,0
677,0,1,1,0,0
678,0,1,0,1,1
679,0,1,1,0,0
680,1,1,0,0,1
681,0,1,0,1,0
682,0,0,0,0,0
683,0,0,0,1,1
684,0,1,0,1,0
685,1,1,1,1,0
686,1,0,1,1,1
687,0,0,0,0,1
688,1,1,1,1,1
689,0,0,1,0,0
690,1,0,1,0,1
691,1,0,0,0,1
692,0,1,1,1,0
693,1,0,0,1,0
694,1,1,0,1,0
695,0,1,0,0,0
696,0,1,0,0,1
697,0,1,1,1,0
698,0,1,1,0,1
699,0,0,1,0,0
700,0,0,1,1,1
701,1,0,1,0,0
702,1,1,0,0,0
703,1,1,0,1,1
704,0,1,0,1,1
705,0,1,0,1,0
706,0,1,0,0,1
707,1,0,0,0,0
708,1,1,0,0,0
709,0,0,0,0,1
710,1,0,1,0,1
711,0,1,1,1,1
712,1,1,0,1,1
713,1,0,1,0,0
714,0,1,1,1,1
715,0,0,1,0,0
716,1,0,0,1,1
717,1,0,0,0,1
718,0,0,0,0,1
719,0,0,0,1,0
720,1,1,0,1,1
721,1,0,1,0,1
722,1,0,0,1,0
723,0,0,1,0,1
724,1,1,0,0,1
725,0,1,0,1,0
726,0,1,0,0,0
727,0,0,1,0,0
728,1,1,1,0,1
729,0,1,0,0,0
730,1,0,0,0,1
731,1,1,1,0,1
732,1,1,0,1,1
733,0,0,1,0,1
734,0,1,0,0,1
735,0,0,1,0,1
736,1,0,0,1,0
737,1,1,0,0,1
738,1,0,0,0,1
739,0,0,0,0,1
740,0,1,1,0,1
741,1,1,0,0,1
742,1,0,1,1,0
743,1,1,1,1,0
744,0,1,1,0,1
745,1,1,1,1,0
746,1,0,1,0,1
747,0,1,1,1,1
748,0,0,1,1,0
749,1,1,1,0,0
750,1,1,1,0,0
751,0,1,0,1,1
752,1,0,1,1,0
753,0,0,1,0,1
754,1,0,0,1,0
755,0,0,1,0,1
756,1,0,1,0,1
757,1,1,1,1,0
758,0,0,0,1,1
759,0,1,1,0,1
760,1,1,1,0,1
761,1,0,1,0,0
762,1,1,1,1,1
763,1,1,1,1,0
764,1,0,0,0,1
765,0,0,0,0,1
766,1,0,1,1,1
767,0,0,1,0,0
768,1,1,0,0,0
769,1,0,0,0,1
770,0,1,1,0,1
771,1,1,1,1,0
772,0,1,1,0,0
773,0,0,1,0,0
774,1,0,0,0,0
775,1,0,1,1,1
776,1,0,0,1,0
777,1,0,0,1,0
778,1,0,1,0,1
779,0,1,1,0,1
780,0,1,0,0,1
781,0,1,0,0,0
782,0,1,1,0,1
783,1,1,0,1,0
784,1,1,1,0,0
785,0,1,0,0,0
786,1,1,0,1,1
787,1,1,0,0,1
788,0,0,1,0,0
789,0,0,0,1,0
790,0,0,1,0,1
791,0,1,1,0,1
792,0,0,0,0,1
793,0,0,1,0,0
794,1,0,0,0,1
795,0,1,1,1,0
796,1,1,0,0,1
797,0,0,1,1,1
798,0,1,1,1,1
799,1,0,0,0,0
800,1,0,0,0,0
801,1,1,1,1,0
802,0,1,1,1,0
803,1,1,1,1,0
804,1,1,0,0,0
805,0,1,1,0,1
806,1,1,0,0,1
807,0,1,0,0,0
808,1,0,1,0,1
809,0,1,1,1,0
810,0,0,1,1,1
811,1,0,1,1,1
812,1,1,1,0,0
813,0,0,0,1,0
814,0,1,0,0,1
815,0,0,1,0,0
816,0,1,1,1,1
817,1,1,0,0,0
818,1,0,0,0,0
819,1,1,1,0,1
820,1,1,0,1,1
821,1,1,0,0,1
822,1,1,0,1,0
823,0,0,1,1,0
824,1,0,1,1,0
825,0,1,1,1,0
826,1,0,0,1,1
827,1,1,1,0,1
828,1,1,0,0,1
829,1,1,0,0,1
830,1,1,0,1,1
831,1,0,1,1,0
832,0,0,1,0,0
833,0,0,1,0,1
834,1,0,0,1,1
835,1,0,0,0,1
836,0,0,1,1,1
837,0,1,0,0,1
838,0,0,0,0,0
839,0,1,1,1,0
840,0,0,1,0,1
841,0,1,0,1,0
842,0,1,0,1,1
843,1,0,1,0,0
844,0,1,1,0,0
845,1,1,0,0,0
846,1,0,1,0,0
847,1,0,0,1,0
848,0,0,0,1,0
849,0,0,0,0,1
850,1,0,1,1,0
851,0,1,1,1,1
852,0,0,0,0,0
853,1,1,0,0,1
854,0,0,0,1,1
855,0,1,0,0,0
856,0,0,1,0,0
857,1,1,1,0,1
858,1,0,0,0,0
859,0,0,1,1,0
860,0,0,1,0,1
861,0,0,0,0,1
862,1,1,1,0,1
863,0,1,1,1,0
864,1,0,1,0,1
865,0,1,0,1,0
866,0,0,1,0,0
867,1,0,0,1,0
868,0,0,1,1,0
869,0,0,1,0,0
870,1,0,1,0,0
871,1,0,0,1,1
872,0,0,0,1,0
873,1,0,0,1,0
874,1,1,1,0,0
875,1,1,1,1,0
876,0,1,0,1,0
877,1,0,1,0,0
878,0,0,0,1,1
879,1,0,0,1,0
880,1,0,0,0,1
881,1,1,0,0,1
882,0,1,0,0,0
883,0,0,1,1,1
884,1,1,0,0,1
885,1,1,1,0,1
886,0,0,0,1,1
887,0,0,1,1,0
888,0,0,1,0,1
889,0,1,0,0,1
890,0,1,1,0,0
891,1,1,1,0,0
892,0,0,0,0,0
893,0,0,1,1,0
894,0,0,0,1,1
895,0,1,1,0,1
896,1,0,0,0,1
897,0,0,1,0,1
898,0,0,1,1,0
899,1,1,0,1,0
900,0,1,0,0,0
901,1,0,0,1,1
902,0,1,1,0,1
903,1,0,0,1,0
904,1,0,1,1,0
905,1,0,0,1,0
906,0,0,0,1,1
907,0,1,0,1,0
908,1,1,0,0,1
909,0,1,0,1,1
910,1,1,0,1,0
911,0,0,1,0,0
912,0,0,0,0,1
913,1,1,1,1,1
914,1,1,0,1,1
915,0,0,0,0,1
916,1,0,1,1,1
917,0,0,1,1,0
918,1,0,1,0,1
919,1,1,0,1,1
920,1,0,1,1,0
921,1,0,1,0,1
922,1,1,1,0,1
923,1,1,0,0,0
924,1,0,1,0,0
925,0,1,0,0,0
926,0,1,1,0,1
927,1,1,0,1,1
928,0,0,0,0,1
929,0,1,0,1,0
930,1,1,0,1,0
931,0,1,0,0,0
932,0,1,0,0,0
933,0,0,0,0,0
934,1,1,1,0,0
935,1,0,0,1,0
936,1,1,0,0,1
937,1,0,0,0,0
938,1,1,1,1,0
939,0,0,1,1,1
940,0,0,0,1,1
941,1,1,0,0,0
942,1,1,0,1,1
943,0,1,0,0,0
944,1,0,0,1,1
945,1,1,1,0,0
946,1,0,1,1,1
947,0,1,1,1,0
948,1,1,1,0,1
949,0,1,0,1,0
950,0,0,1,1,1
951,0,0,0,1,0
952,0,0,0,1,1
953,1,1,1,1,1
954,0,1,0,1,1
955,1,0,1,0,0
956,0,1,0,1,0
957,0,0,0,0,0
958,0,0,1,1,0
959,1,1,0,1,1
960,1,1,1,0,1
961,1,1,1,1,0
962,0,1,1,1,1
963,0,0,1,0,1
964,1,1,0,1,0
965,1,0,1,0,0
966,1,0,0,1,1
967,0,0,0,0,1
968,0,0,1,0,1
969,0,1,1,1,1
970,0,0,0,1,1
971,0,0,1,1,0
972,1,0,0,1,0
973,1,0,0,0,0
974,1,1,1,1,1
975,0,1,1,0,0
976,0,1,0,0,0
977,1,0,1,1,1
978,0,1,0,1,1
979,0,0,0,1,0
980,1,0,0,1,0
981,1,0,1,0,0
982,0,1,1,1,0
983,0,0,1,1,1
984,1,0,0,0,1
985,1,1,1,1,0
986,0,0,0,1,1
987,0,0,1,0,0
988,0,1,0,0,1
989,1,1,0,1,1
990,0,0,0,0,0
991,0,1,0,1,0
992,0,1,1,0,0
993,0,1,1,0,1
994,1,1,1,1,0
995,1,1,1,0,1
996,1,1,0,0,0
997,0,0,0,0,1
998,0,0,0,1,0
999,0,0,1,0,0
