Src_NodeID,Dest_NodeID,Weight,B1,B2,B3,B4
740,186,75.47,1,0,0,0
110,865,14.24,1,1,0,1
554,728,11.74,1,1,1,1
181,130,18.83,1,1,1,1
258,408,95.07,1,0,0,0
380,807,72.65,1,0,0,1
110,864,92.06,0,0,1,1
391,68,51.05,1,0,1,0
470,628,61.41,0,0,1,1
938,103,58.78,1,0,0,1
719,515,41.73,1,0,1,0
958,810,12.51,0,1,1,1
35,597,76.44,0,1,0,0
316,703,39.99,0,1,1,0
654,265,72.16,1,1,1,1
584,720,59.11,0,0,0,0
590,56,5.96,0,0,0,1
198,337,88.64,0,1,0,0
509,757,4.5,1,0,0,1
667,372,83.07,0,0,0,0
861,127,80.01,0,0,1,0
622,531,70.16,1,0,0,1
379,72,32.21,0,0,0,1
943,864,78.24,1,1,0,0
750,115,21.87,1,1,1,1
937,449,81.58,1,0,1,1
668,500,48.55,1,1,1,1
708,974,83.85,0,1,1,1
371,433,98.46,1,0,1,1
865,650,35.82,1,0,0,0
184,618,22.97,1,0,1,0
434,975,38.21,1,1,0,0
823,508,94.83,1,1,1,0
787,612,85.69,0,1,0,1
867,436,86.75,0,0,0,1
11,390,34.6,1,0,0,0
790,376,84.45,0,1,0,0
818,372,39.35,1,0,0,1
621,694,25.57,0,1,1,1
62,681,13.28,0,0,0,1
268,264,88.51,1,0,1,0
978,639,80.17,0,1,1,1
251,986,89.92,0,1,0,0
549,236,46.07,0,0,1,0
414,345,84.57,1,0,0,0
819,124,1.55,1,0,0,1
580,827,84.35,1,1,1,0
987,265,48.27,1,1,1,1
98,465,33.86,1,0,0,1
426,129,12.53,0,0,1,0
181,945,18.33,1,1,1,0
99,5,76.88,0,1,0,1
416,236,29.24,0,1,1,0
650,425,89.78,1,0,0,1
484,321,14.14,0,1,1,0
997,183,84.95,0,1,1,1
286,505,62.61,0,1,0,0
144,647,89.66,1,1,0,1
412,672,4.07,1,1,0,0
451,409,73.23,0,0,1,1
880,909,13.61,0,0,1,1
390,49,5.19,0,1,0,1
570,976,29.51,1,0,0,0
842,759,40.26,1,0,1,1
705,658,4.79,1,1,1,1
749,563,79.5,0,0,0,0
308,565,94.25,1,0,0,1
193,511,81.36,1,0,0,1
232,473,79.54,0,1,1,1
17,418,86.23,1,0,1,0
856,986,30.46,1,0,1,0
141,990,86.07,0,0,1,0
324,490,39.01,1,1,1,0
840,168,81.28,1,1,0,1
672,261,79.3,0,1,0,0
661,930,18.11,0,1,0,1
863,121,42.37,1,1,0,0
478,915,77.08,1,0,1,0
480,935,19.08,0,0,1,0
465,275,59.97,1,1,1,1
584,108,47.75,1,0,0,0
561,651,35.22,1,0,1,0
272,344,14.63,0,1,0,0
803,855,5.09,0,0,1,0
783,714,85.67,0,1,0,0
943,804,71.78,1,0,0,1
264,302,36.14,1,0,1,0
492,397,83.32,1,1,1,0
504,727,30.86,1,0,0,1
613,636,89.39,0,1,1,0
204,749,58.01,0,0,0,1
17,879,39.97,0,0,0,1
643,937,41.87,1,0,1,1
35,404,2.72,1,1,1,0
653,362,4.41,1,1,0,0
945,784,84.77,0,1,1,1
50,763,36.72,0,0,0,0
911,143,82.38,1,1,0,1
398,493,86.1,0,0,0,1
350,600,8.41,0,0,0,1
657,735,60.38,1,0,0,1
245,967,80.85,0,0,0,1
77,967,36.57,1,1,1,0
720,873,64.5,1,1,0,0
409,647,9.51,1,1,0,1
43,384,6.61,0,0,0,1
497,274,34.65,1,1,1,0
532,637,10.01,0,0,1,1
206,230,80.6,1,0,0,0
249,349,18.68,1,1,1,1
187,12,34.94,0,1,1,1
991,718,48.5,0,0,1,0
194,827,53.73,1,0,0,1
788,851,43.19,1,0,1,1
214,261,71.18,1,1,0,0
435,131,28.26,1,0,0,0
216,490,77.07,1,1,0,1
585,185,56.58,0,0,0,0
114,371,51.89,0,1,1,1
82,311,66.73,1,0,0,1
757,124,23.44,0,1,1,0
156,706,84.56,0,1,0,0
931,710,85.89,1,0,1,1
763,272,14.26,0,0,1,1
283,313,42.28,1,0,0,1
735,251,76.81,1,1,0,0
337,673,48.98,1,0,1,1
384,278,21.81,1,0,1,0
308,851,12.28,1,0,1,0
881,186,40.91,0,1,1,0
601,332,9.49,0,0,0,0
345,99,39.1,1,0,1,0
360,210,26.58,1,0,1,1
579,840,63.93,1,0,1,0
389,965,63.99,0,0,0,1
207,191,92.46,1,0,0,1
396,975,6.23,1,1,1,0
310,439,62.06,0,0,1,1
91,188,19.85,0,0,0,0
260,639,69.73,1,1,0,0
114,820,32.41,1,0,0,0
82,552,11.22,1,1,1,0
462,649,94.03,0,0,0,0
522,230,24.38,1,1,0,0
114,137,95.4,1,0,1,0
490,650,71.59,0,0,0,1
886,782,66.77,0,0,1,1
234,64,74.69,0,1,1,1
894,745,65.27,1,1,1,1
600,329,95.91,0,0,1,0
611,935,95.65,1,0,0,1
964,872,49.02,0,0,0,0
260,248,56.66,1,0,1,0
620,719,34.65,1,1,1,1
223,429,28.23,1,0,0,1
556,151,54.28,1,1,0,1
650,973,49.16,1,1,1,0
42,623,20.29,1,0,0,1
166,946,15.65,1,1,0,1
794,525,37.0,1,0,1,1
449,836,27.13,0,1,0,0
639,959,29.89,0,1,0,1
580,351,86.73,0,1,0,1
103,427,65.24,0,0,1,1
509,174,70.61,1,0,1,0
917,536,17.42,0,0,1,1
288,376,67.57,1,1,0,0
262,4,51.85,1,1,0,0
313,218,20.61,1,0,1,1
287,969,27.97,0,1,1,1
263,175,63.12,1,0,0,0
40,351,91.73,0,0,1,1
394,297,33.5,0,1,0,1
665,297,59.88,0,0,1,0
204,7,22.46,1,1,1,1
781,15,2.95,1,1,0,0
964,508,42.47,0,0,1,0
881,554,79.82,0,0,0,1
355,663,66.53,0,0,0,0
411,147,73.49,0,1,0,1
13,949,58.41,1,0,0,0
316,133,46.77,0,0,1,1
928,765,83.92,0,0,0,0
529,833,35.09,1,1,0,1
110,224,66.88,1,0,1,1
749,798,38.1,1,0,1,0
995,319,43.5,1,1,0,1
10,618,88.83,1,0,0,0
471,893,72.45,0,1,0,1
727,302,73.77,0,1,1,1
43,235,45.44,1,0,0,1
102,352,73.01,1,1,1,0
6,744,1.47,0,1,0,1
547,273,68.5,1,1,1,1
604,69,69.42,0,1,1,0
267,410,73.66,1,0,1,0
327,540,53.21,0,0,0,1
222,33,13.61,0,0,1,1
54,48,2.72,0,1,1,1
62,117,57.28,0,0,0,0
515,185,28.39,1,1,1,0
618,384,23.19,0,1,1,0
216,220,19.01,0,1,0,0
182,60,52.0,0,0,1,0
745,971,40.53,0,1,1,1
675,767,58.91,1,0,1,0
7,591,26.09,0,1,1,0
116,793,61.85,1,0,0,0
386,79,34.31,0,1,1,0
934,422,46.44,1,1,1,1
579,283,79.57,1,0,0,0
687,489,46.09,1,1,0,1
565,396,93.1,0,0,1,0
460,891,62.83,1,1,1,1
566,908,42.01,1,0,1,0
398,179,16.15,0,1,0,1
148,452,17.5,0,0,0,1
704,68,55.79,0,0,0,1
955,301,73.24,1,1,1,0
648,264,77.51,0,1,0,1
261,818,19.38,0,0,0,0
907,673,63.5,1,1,1,0
595,401,35.42,1,0,0,1
150,593,26.84,1,1,0,0
634,850,51.99,1,0,1,0
796,120,99.58,1,0,1,1
284,614,40.36,1,0,0,1
174,545,95.83,0,0,0,0
406,266,1.82,0,0,0,1
912,121,47.84,1,0,0,0
21,960,93.65,1,1,0,0
188,661,81.57,0,1,0,0
322,750,99.04,1,0,1,1
471,467,61.3,0,0,1,0
35,894,36.66,0,1,0,1
418,475,11.1,1,1,0,0
918,70,74.71,0,0,1,1
398,312,84.57,1,1,0,1
995,331,47.14,1,1,1,1
619,762,64.46,1,1,1,1
157,117,63.59,1,0,1,1
43,417,99.23,1,1,0,0
904,663,10.67,0,0,1,0
197,57,14.75,1,1,1,1
132,956,87.91,1,0,0,0
780,36,21.13,1,0,1,0
377,389,81.54,0,1,1,0
746,147,87.64,1,0,0,1
404,523,92.07,0,1,1,0
939,103,32.15,1,0,1,0
232,239,24.78,0,1,1,0
75,17,69.37,1,0,0,1
459,778,5.66,0,0,1,1
335,184,84.43,1,1,1,0
689,469,72.74,1,1,1,1
173,933,50.89,1,0,0,0
54,738,97.79,1,0,0,0
753,669,89.86,0,1,1,0
625,505,39.31,0,0,1,0
891,367,73.01,1,1,0,0
588,849,1.04,1,0,0,1
376,77,71.41,1,1,1,0
648,338,60.88,1,1,1,0
519,842,89.13,0,1,0,1
870,239,70.58,0,1,1,1
605,640,76.04,1,1,1,0
481,544,19.35,0,0,0,1
669,793,21.36,0,1,1,0
882,684,32.87,0,1,1,1
241,167,55.65,1,1,0,0
998,31,14.91,1,0,1,1
517,503,57.84,1,0,1,1
412,104,9.74,1,1,1,1
83,998,59.76,0,1,1,0
914,132,30.96,1,0,0,1
822,831,4.15,1,0,1,1
784,742,53.85,1,0,1,1
424,981,84.99,0,1,0,0
5,318,52.19,1,0,0,1
955,455,88.58,1,0,0,0
800,396,18.87,0,1,0,0
257,207,29.39,0,1,1,0
728,421,85.17,0,1,1,0
823,888,59.18,0,0,0,1
523,868,7.26,0,0,0,1
214,797,33.58,1,0,0,1
952,478,68.5,0,0,0,1
451,178,44.04,1,1,1,0
809,21,41.11,0,1,0,1
531,46,99.17,0,0,1,0
35,813,68.08,1,0,0,0
551,686,10.85,0,1,0,0
470,844,99.62,0,1,1,0
163,135,69.0,1,1,1,1
862,421,76.97,1,0,0,1
456,430,44.48,1,1,1,1
618,164,50.84,1,1,0,1
294,458,73.56,1,0,1,1
761,559,1.59,0,1,1,1
136,910,12.89,0,1,1,1
702,459,83.42,1,1,0,1
758,885,93.76,1,0,0,1
752,398,99.37,0,1,1,0
413,862,8.97,1,1,0,0
776,686,58.76,1,1,1,0
650,260,53.97,0,0,1,1
528,39,62.9,1,0,0,1
5,240,57.64,0,0,1,0
906,974,66.77,0,1,1,1
47,386,97.72,0,0,1,0
313,437,94.47,0,1,1,0
452,908,46.24,0,1,1,1
595,267,97.32,1,1,1,1
659,612,56.73,1,1,0,0
379,527,19.34,1,1,1,1
70,890,90.62,1,1,0,1
412,740,22.65,0,0,0,0
115,746,28.77,1,0,0,0
429,676,12.43,0,1,0,1
293,946,43.07,1,1,0,0
558,217,21.16,1,1,1,1
265,719,34.4,1,1,0,1
569,526,61.34,1,0,0,0
346,347,4.38,0,0,0,1
277,578,71.38,0,1,0,1
852,434,88.85,0,1,0,1
744,544,69.64,1,1,1,1
706,452,47.33,1,1,1,1
230,455,29.23,0,0,1,0
209,239,26.4,0,0,1,1
675,360,70.05,0,0,0,0
481,736,69.2,1,0,0,1
510,956,57.67,0,1,0,0
244,673,59.62,1,0,1,1
619,57,39.65,1,0,1,1
604,270,22.26,0,1,1,0
593,699,46.04,0,1,1,0
392,616,55.35,1,0,0,1
851,727,56.31,0,0,1,1
438,842,84.05,0,0,1,1
391,935,76.63,0,1,1,0
359,492,42.33,1,0,0,0
202,806,12.33,0,0,1,1
329,191,62.5,1,0,0,0
148,988,35.97,1,0,0,1
187,94,26.62,1,1,0,1
514,184,62.3,1,1,1,0
236,30,39.31,0,0,0,1
224,274,78.27,0,1,1,0
688,893,45.07,1,0,0,1
248,384,92.68,0,0,0,1
639,512,85.18,1,0,1,1
202,103,9.34,0,0,1,1
940,558,20.96,0,1,1,1
543,704,10.29,1,1,0,0
290,260,17.88,0,1,1,1
439,338,85.29,1,1,1,0
109,942,58.53,1,0,1,1
812,920,96.26,1,1,1,1
115,828,62.2,1,0,0,0
656,667,61.97,1,0,1,0
59,169,7.19,1,1,1,1
176,875,5.23,1,0,0,1
544,822,34.57,0,1,0,1
596,998,92.52,1,0,1,0
209,5,99.8,0,0,1,1
716,318,74.44,1,1,0,0
285,6,38.75,0,0,1,1
142,206,94.9,0,0,0,1
34,840,10.38,1,1,1,0
778,176,51.96,0,1,0,0
225,320,9.54,0,0,0,1
643,224,85.17,0,0,1,1
856,223,57.65,0,1,1,1
947,321,87.52,0,0,1,1
847,941,86.52,0,1,1,1
180,23,26.35,0,0,1,1
526,69,84.71,0,1,0,0
977,183,36.84,1,0,1,0
799,477,55.66,0,1,0,1
280,992,76.26,0,1,1,0
558,559,79.94,1,0,0,0
888,589,5.48,1,0,1,1
832,710,28.88,0,1,0,0
844,863,88.83,1,1,0,1
661,825,81.5,1,0,1,0
382,698,32.99,0,0,1,1
731,264,57.95,0,1,1,1
680,878,35.97,1,1,1,1
311,646,89.39,0,0,0,0
854,28,95.46,1,0,0,1
408,527,44.38,0,0,0,1
61,870,13.82,0,1,1,1
602,690,50.44,0,1,1,0
825,386,75.71,1,0,0,0
255,198,8.2,0,0,1,0
316,963,45.69,0,0,1,1
733,190,48.31,1,0,0,1
313,667,88.34,1,1,0,1
138,263,87.02,1,1,0,0
913,163,13.4,0,1,0,1
606,428,68.97,0,1,0,1
901,761,81.79,0,0,1,0
345,884,6.58,1,1,1,0
958,173,89.03,0,1,1,0
165,602,41.66,0,0,0,0
178,0,14.77,1,0,0,0
883,960,91.82,0,0,0,1
693,570,13.59,1,1,0,1
736,534,86.53,0,1,0,1
278,275,71.97,0,1,0,0
873,897,96.66,1,0,1,1
956,223,1.9,1,1,1,0
455,868,36.65,1,1,0,0
856,564,33.28,0,1,0,0
182,136,62.3,0,0,0,1
357,274,72.05,0,0,0,1
34,582,76.7,0,0,1,0
302,31,20.64,0,1,1,1
582,748,48.87,1,1,1,1
437,438,56.06,0,1,1,1
816,820,45.4,1,0,1,0
400,740,72.07,1,0,0,0
613,291,37.57,0,0,1,1
390,226,89.45,1,0,1,1
498,579,68.38,0,0,1,0
904,569,26.74,1,1,0,1
902,972,47.8,1,0,0,0
382,795,85.47,0,0,0,0
731,299,44.82,0,1,0,1
699,726,8.07,0,0,0,1
838,946,63.55,0,0,0,1
730,872,95.03,1,1,1,1
513,160,39.05,1,0,0,1
355,392,25.55,1,1,0,1
40,45,27.01,0,1,1,0
770,792,39.45,0,1,0,0
275,5,22.21,1,1,1,1
874,199,65.04,1,0,1,1
274,552,46.92,1,0,0,0
653,256,92.51,1,1,0,1
235,444,20.7,1,1,1,0
161,10,90.4,1,1,0,1
782,0,77.45,0,0,1,0
663,582,25.38,0,1,0,1
54,571,53.06,1,0,0,1
230,980,33.11,0,1,0,1
776,581,49.46,0,1,1,0
413,613,32.96,0,0,0,0
321,373,26.87,1,0,1,1
909,617,54.77,1,0,0,0
775,965,14.42,0,0,1,0
714,203,93.8,1,1,0,0
835,992,42.42,0,0,0,1
91,93,57.87,0,0,1,0
877,423,40.57,0,0,0,0
311,870,59.75,0,0,0,0
403,962,43.6,0,0,1,0
829,305,9.42,0,0,0,1
388,173,93.56,1,0,0,0
524,463,37.18,1,0,1,1
778,592,17.93,0,1,1,0
479,201,57.32,1,1,0,1
128,65,44.08,0,0,1,1
817,639,46.85,1,0,1,1
876,879,93.28,0,1,0,1
621,703,4.2,1,1,1,1
7,747,81.27,0,1,0,0
206,107,34.36,1,0,0,0
935,714,57.99,1,1,0,1
56,961,2.79,1,0,1,1
482,428,75.57,0,0,1,0
377,360,53.2,0,0,1,1
257,8,88.61,1,0,0,0
482,888,31.64,0,1,0,0
685,979,58.14,0,1,1,1
673,284,25.86,1,0,1,1
650,127,52.22,0,1,0,0
445,898,25.67,1,1,0,1
157,849,79.4,0,0,1,1
695,947,74.25,0,0,0,0
742,420,4.13,1,0,1,1
546,250,12.36,0,1,0,0
106,415,31.78,0,0,0,1
807,84,8.09,0,1,0,0
864,730,69.66,0,0,1,0
322,249,44.52,1,1,0,0
260,268,8.7,0,0,1,1
896,648,1.12,0,0,0,0
278,493,4.34,1,0,1,0
579,168,18.03,1,1,1,0
148,750,82.45,1,1,0,0
72,0,33.45,1,0,0,1
994,804,87.58,1,1,1,0
20,846,12.55,0,1,1,0
374,34,72.44,1,0,1,0
107,269,81.17,0,1,0,0
602,550,64.64,0,1,0,0
931,355,63.82,1,0,1,0
261,738,33.77,1,1,0,0
869,308,42.92,1,0,0,1
24,313,96.44,1,0,1,0
249,370,96.93,1,1,0,1
321,552,47.74,0,0,0,1
166,215,89.67,1,0,1,0
189,620,18.73,0,0,0,0
364,518,43.55,0,0,0,0
980,564,30.7,0,1,0,1
439,804,46.52,0,0,1,0
221,66,91.18,1,1,1,0
193,709,41.09,1,0,0,0
860,795,3.24,1,1,1,0
86,850,17.54,1,0,0,0
708,138,71.5,0,1,0,0
660,175,48.54,1,0,1,0
702,976,53.9,1,0,0,1
62,994,24.5,1,0,1,1
666,916,52.59,1,1,0,1
816,435,58.36,1,1,1,0
687,936,79.96,1,0,0,1
461,360,47.76,1,1,0,0
416,273,40.5,0,0,1,0
146,254,26.29,0,0,0,1
997,485,13.01,1,1,0,1
571,967,61.62,1,0,0,0
89,419,92.45,0,0,1,0
440,665,17.66,1,0,0,0
530,257,75.11,0,0,1,1
319,213,56.75,1,1,0,1
744,187,96.45,1,1,1,1
314,636,86.94,1,1,0,0
791,921,83.54,0,0,0,0
947,52,63.15,1,1,1,0
580,843,52.36,0,0,1,1
869,719,79.15,1,0,0,1
955,20,34.69,1,0,1,1
499,694,67.49,0,1,0,1
96,554,35.02,1,0,0,0
909,245,69.16,0,0,0,0
106,277,88.68,1,0,1,0
661,303,80.26,1,1,1,0
226,144,91.64,0,0,1,1
365,457,90.55,1,1,1,0
804,982,88.32,0,0,0,1
516,537,52.66,0,0,0,1
666,354,21.54,1,1,0,0
53,913,57.34,0,1,1,1
773,885,22.29,1,1,1,1
917,113,72.08,0,1,1,0
670,290,32.53,0,1,1,1
307,370,27.04,0,0,0,0
217,997,54.83,1,0,1,0
304,341,65.86,0,1,0,1
43,182,73.64,1,1,0,1
586,909,42.28,1,1,1,1
660,543,80.72,0,0,0,1
875,450,12.54,0,1,0,0
548,466,63.77,1,0,0,0
681,751,78.96,1,1,0,1
898,489,6.03,0,0,0,0
812,491,82.66,0,1,1,1
541,893,66.74,1,0,1,1
764,888,66.64,1,0,0,0
467,459,72.14,1,1,0,0
267,501,47.83,0,1,0,0
525,163,10.51,1,1,1,0
392,984,54.24,1,1,0,0
815,81,93.3,1,0,1,0
120,399,34.66,0,1,1,1
973,584,85.12,1,0,1,1
166,525,4.75,0,1,1,1
283,385,24.32,0,0,0,0
404,51,33.66,1,0,1,1
888,911,75.71,0,0,0,1
178,917,90.06,0,0,1,0
716,298,47.84,0,1,0,0
48,698,24.32,0,1,1,1
567,82,3.66,0,0,0,1
218,736,35.72,0,0,0,0
320,240,65.89,1,0,1,0
460,522,60.85,0,0,1,1
761,400,37.31,1,0,1,1
119,235,1.62,0,0,1,1
420,313,4.48,1,1,0,1
660,128,18.07,1,1,1,1
172,109,59.94,0,1,0,1
224,855,57.81,0,1,1,1
430,436,43.52,0,0,0,1
901,286,27.4,0,0,1,0
625,76,16.54,0,1,1,0
227,189,51.08,0,0,0,1
301,187,69.06,0,1,1,1
823,928,37.03,0,1,0,0
321,890,48.82,1,1,1,1
176,483,89.22,0,0,1,0
40,493,83.02,1,0,0,1
112,556,34.02,1,0,1,1
686,362,25.8,1,1,1,0
16,4,75.72,1,1,1,1
817,48,15.65,0,0,1,1
899,209,31.53,0,0,1,1
948,848,13.02,0,0,1,1
238,530,25.17,1,0,1,0
567,704,1.07,1,1,1,0
974,263,96.71,1,1,0,1
65,85,73.53,0,1,0,1
896,927,29.81,0,1,1,0
356,285,3.39,1,1,0,1
851,587,33.79,0,1,1,0
436,804,94.08,1,0,0,0
133,902,6.01,0,1,1,0
62,281,14.66,1,1,0,0
714,134,60.94,1,1,0,0
924,357,15.74,0,0,1,1
694,846,3.07,0,0,0,0
618,645,94.49,0,0,1,1
379,256,57.52,0,0,1,1
474,531,15.94,1,0,0,1
845,33,73.8,1,1,0,1
658,238,4.35,1,1,0,1
945,791,49.54,0,0,0,0
256,935,66.68,0,1,1,0
278,80,38.33,0,0,1,1
210,116,94.2,0,0,1,0
7,438,57.7,0,1,0,0
607,369,34.88,1,1,0,1
175,614,9.39,0,1,0,0
712,993,30.67,0,0,0,0
617,706,41.54,1,0,0,1
710,854,9.84,0,1,1,0
472,364,69.68,0,0,0,0
323,619,39.24,1,0,0,1
32,318,90.15,0,0,1,0
317,408,95.39,0,1,0,1
469,371,81.22,0,0,1,1
787,146,65.28,1,0,0,1
476,782,8.83,0,1,1,0
120,930,10.78,1,1,1,0
721,798,72.5,0,0,1,0
885,271,3.96,0,0,0,1
24,776,36.06,1,0,1,0
823,497,59.09,1,1,0,0
718,58,15.49,1,1,0,0
31,477,6.54,0,0,0,0
872,949,23.08,1,1,1,0
540,308,21.07,0,1,1,1
637,332,79.7,1,0,0,0
475,649,31.14,0,1,0,1
307,495,13.8,0,0,1,1
857,972,11.87,1,1,0,0
159,670,67.75,1,0,0,0
300,814,71.45,0,1,1,0
212,31,84.65,1,1,1,1
463,990,42.24,1,0,1,0
624,216,15.75,1,0,1,1
107,223,53.76,1,1,0,1
194,3,93.51,0,0,0,1
967,484,95.66,0,1,1,0
699,466,18.86,1,0,1,0
545,499,71.37,1,0,0,0
816,829,17.26,1,0,0,1
134,953,6.41,0,0,0,1
637,684,19.07,1,0,0,1
528,209,75.0,0,0,0,1
882,215,7.06,0,1,0,0
889,396,5.49,1,0,0,0
220,390,32.84,1,0,1,1
719,321,90.05,0,0,0,1
959,858,84.37,1,1,0,0
472,575,66.27,1,1,1,0
618,557,83.12,0,1,1,1
27,655,35.49,0,0,0,0
429,825,49.83,0,1,0,0
809,72,91.52,0,1,1,0
724,498,32.73,0,0,1,0
294,821,15.73,1,1,1,0
356,799,34.76,1,0,0,0
498,877,54.01,1,1,1,0
997,777,75.78,0,0,1,1
88,54,76.94,0,0,0,0
43,420,74.5,1,1,0,1
992,134,50.96,0,1,0,1
958,201,65.45,1,1,1,1
250,683,55.58,0,1,0,0
50,224,51.47,1,1,0,1
436,826,82.03,1,1,0,0
790,393,68.58,0,1,1,1
85,744,81.37,0,0,1,1
695,583,22.03,0,1,0,0
341,758,23.19,1,0,1,0
165,756,79.41,0,0,0,1
999,656,38.78,0,1,0,0
763,854,66.92,1,1,0,0
488,328,66.43,0,0,1,0
792,751,83.14,0,0,1,0
393,700,55.36,1,1,0,0
438,260,48.51,1,0,1,1
612,829,83.43,0,0,1,1
907,688,24.5,1,0,0,0
160,350,66.47,1,0,1,0
936,733,92.26,0,1,1,1
235,548,92.98,1,0,1,0
795,701,70.12,0,0,1,0
335,578,6.31,0,0,0,1
583,440,15.83,1,0,0,1
130,587,18.34,0,1,0,1
898,724,92.84,0,0,0,0
243,620,70.79,0,0,0,1
775,494,6.45,0,1,1,1
616,710,10.05,1,0,0,0
839,65,88.54,1,1,1,0
897,632,70.66,1,1,1,0
254,665,58.06,0,1,1,0
287,197,42.61,0,0,0,1
357,902,97.27,0,1,1,0
395,483,86.99,0,1,1,0
681,735,62.42,0,0,1,0
163,513,14.16,1,0,1,1
172,51,64.33,0,0,1,1
465,408,68.42,1,0,0,0
609,566,69.4,0,0,1,0
109,798,17.39,0,0,1,0
31,787,98.99,0,0,0,0
875,56,45.71,0,0,0,0
947,985,94.17,0,0,1,0
310,786,17.38,1,0,1,0
693,66,85.57,1,0,0,0
73,225,93.54,1,1,1,1
440,8,78.78,1,1,0,1
12,452,36.67,1,1,1,1
374,687,68.45,0,0,1,1
971,125,21.23,0,0,0,1
416,988,90.17,1,1,0,1
841,485,33.35,0,1,0,0
594,576,87.39,1,1,1,1
798,685,12.86,0,1,1,1
674,381,85.24,1,1,0,0
403,664,29.2,0,1,1,0
66,716,21.1,0,1,0,1
240,367,37.61,0,1,1,1
918,45,55.13,1,1,1,0
891,263,93.03,0,0,0,0
725,69,16.73,0,0,1,1
687,5,91.18,0,1,1,0
368,82,26.79,1,1,0,0
234,509,26.14,0,0,1,1
522,43,28.83,1,0,0,0
469,69,24.93,0,1,0,1
672,417,30.86,1,1,0,0
125,377,1.26,0,1,0,1
892,482,49.51,0,0,0,0
392,526,66.39,1,1,1,1
565,90,47.9,1,1,0,1
159,460,74.26,1,1,0,1
448,375,57.76,0,0,0,1
789,419,69.23,1,1,1,0
99,134,61.09,1,0,0,0
104,714,69.9,0,1,0,0
895,843,79.24,1,1,1,0
861,333,51.0,0,0,0,1
92,897,65.47,0,1,0,0
150,959,82.67,0,0,0,1
440,49,74.45,0,1,1,1
122,361,54.15,1,1,1,1
185,112,81.81,0,0,1,1
715,198,63.44,1,1,1,0
533,919,36.57,0,0,0,1
729,233,94.22,1,0,0,1
131,239,25.16,0,0,1,0
504,264,91.04,0,0,0,1
906,249,64.81,1,1,1,0
720,480,22.55,0,1,0,1
300,193,30.68,0,1,0,1
20,329,37.12,1,1,1,1
554,249,98.39,1,1,0,1
861,703,11.22,1,1,1,1
335,802,56.39,1,0,0,0
446,589,36.27,1,0,1,1
198,176,67.5,1,1,1,0
918,909,67.06,0,0,1,0
968,69,54.16,0,1,1,1
51,272,68.34,0,1,0,0
342,269,36.99,1,0,0,1
786,629,92.26,1,1,1,0
410,435,38.75,1,1,0,0
29,764,55.79,1,1,0,0
834,831,66.86,1,1,1,0
690,55,70.62,1,0,0,0
514,850,97.26,1,0,0,0
524,196,8.9,0,0,1,1
437,444,84.59,0,0,1,0
772,394,89.15,1,0,0,0
85,500,31.44,1,0,1,0
633,186,20.0,0,1,1,1
159,603,10.67,1,1,1,1
335,832,36.08,0,0,0,1
787,391,61.99,0,0,1,1
70,878,66.5,0,0,1,0
547,254,14.13,0,0,1,0
484,629,52.12,1,1,0,1
265,576,74.37,1,0,0,0
527,253,23.49,1,0,0,1
761,735,46.2,1,0,1,1
279,548,63.43,1,0,0,0
749,472,74.63,0,1,1,1
87,609,21.51,1,0,0,1
854,667,9.01,1,0,0,1
2,910,53.65,1,1,0,0
563,574,50.13,1,0,1,1
